k,coherence_cv
5,0.767
6,0.8143
7,0.8442
8,0.8632
9,0.8519
10,0.8398
11,0.8244
12,0.8086
13,0.8045
14,0.8172
15,0.8276
16,0.8295
17,0.8375
18,0.8418
19,0.8341
20,0.8384
21,0.8369
22,0.8395
23,0.8436
24,0.8471
25,0.8452
26,0.851
27,0.849
28,0.8522
29,0.8484
30,0.8514
