topic_id,rank,word,weight
15,4,аэропорт,0.598386
15,5,борт,0.480302
15,6,рейс,0.477753
15,7,пилот,0.437869
15,8,полёт,0.332802
15,9,лайнер,0.330137
15,10,экипаж,0.330019
15,11,посадка,0.290487
15,12,воздушный,0.229657
15,13,взлёт,0.221526
15,14,крушение,0.214021
15,15,авиалайнер,0.208408
16,1,регион,0.83818
16,2,область,0.710712
16,3,губернатор,0.703678
16,4,воробьёв,0.674814
16,5,подмосковье,0.568083
16,6,андрей,0.541935
16,7,московский,0.440228
16,8,корреспондент,0.415606
16,9,министр,0.391315
16,10,подмосковный,0.321773
16,11,правительство,0.318571
16,12,лента,0.313189
16,13,работа,0.308475
16,14,проект,0.290026
16,15,программа,0.28721
17,1,цена,0.613262
17,2,доллар,0.598731
17,3,компания,0.581494
17,4,миллиард,0.487215
17,5,нефть,0.479158
17,6,рынок,0.443342
17,7,процент,0.360567
17,8,рост,0.338641
17,9,бензин,0.278738
17,10,рубль,0.269387
17,11,баррель,0.268032
17,12,экономика,0.256589
17,13,топливо,0.24934
17,14,банк,0.241373
17,15,санкция,0.239918
18,1,фигуристка,0.619334
18,2,загитов,0.60404
18,3,гран,0.552243
18,4,медведев,0.474377
18,5,балл,0.439212
18,6,этап,0.411408
18,7,соревнование,0.411368
18,8,олимпийский,0.391622
18,9,россиянка,0.386869
18,10,спортсменка,0.371177
18,11,программа,0.350814
18,12,занять,0.344801
18,13,место,0.335572
18,14,туктамышев,0.323705
18,15,короткий,0.321019
19,1,учёный,0.748075
19,2,исследователь,0.391902
19,3,исследование,0.37437
19,4,университет,0.32649
19,5,обнаружить,0.28041
19,6,заболевание,0.266109
19,7,специалист,0.265784
19,8,человек,0.26139
19,9,релиз,0.250243
19,10,выяснить,0.234995
19,11,процент,0.22848
19,12,количество,0.223865
19,13,оказаться,0.223476
19,14,система,0.217581
19,15,результат,0.209611
